2013-02-20 08:23:38,591 INFO  [STDOUT] (http-0.0.0.0-8080-3)         parametroe0_.CNPJ_EMPRESA in (
2013-02-20 08:23:38,591 INFO  [STDOUT] (http-0.0.0.0-8080-3)             ? , ? , ? , ? , ? , ? , ? , ? , ? , ? , ? , ? , ? , ? , ? , ? , ? , ? , ? , ? , ? , ? , ? , ? , ? , ? , ? , ? , ? , ? , ? , ? , ? , ? , ? , ? , ? , ? , ?
2013-02-20 08:23:38,591 INFO  [STDOUT] (http-0.0.0.0-8080-3)         )
2013-02-20 08:23:38,625 INFO  [br.com.pwc.nfe.entrada.core.parametrizacao.ParametroEmpresaFilialBean] (http-0.0.0.0-8080-3) Busca Parâmetro Empresa Filial por CNPJ : [45169841000165, 50596790000198, 50596790000600, 50596790001593, 50596790001402, 50596790001160, 50596790001240, 50596790001321, 50596790001836, 99999999000191, 19100000000000, 96734892000123, 96734892000123, 01786983000368, 32471181000120, 22351854000155, 11111111444405, 11111111444405, 04962355000112, 11111111444405, 11111111111180, 00623904000173, 54438877000198, 54438877000279, 21551379000106, 21551379000874, 08714102000180, 58716764000168, 74053776000106, 26536561000101, 33285113000130, 54443713000159, 84841450000105, 11111111111180, 25595918000151, 96734892000123, 11111111111180, 74246978000174, 13524666000190] realizada com sucesso
2013-02-20 08:23:38,644 INFO  [br.com.pwc.nfe.entrada.core.parametrizacao.UsuarioBean] (http-0.0.0.0-8080-3) Buscando Usuário NFe por Login : daniel.santos
2013-02-20 08:23:38,679 INFO  [STDOUT] (http-0.0.0.0-8080-3) Hibernate: 
2013-02-20 08:23:38,680 INFO  [STDOUT] (http-0.0.0.0-8080-3)     select
2013-02-20 08:23:38,680 INFO  [STDOUT] (http-0.0.0.0-8080-3)         usuarionfe0_.ID as ID19_0_,
2013-02-20 08:23:38,680 INFO  [STDOUT] (http-0.0.0.0-8080-3)         usuarionfe1_.ID as ID9_1_,
2013-02-20 08:23:38,680 INFO  [STDOUT] (http-0.0.0.0-8080-3)         colunapain3_.ID as ID13_2_,
2013-02-20 08:23:38,680 INFO  [STDOUT] (http-0.0.0.0-8080-3)         usuarionfe0_.DATA_CRIACAO as DATA2_19_0_,
2013-02-20 08:23:38,680 INFO  [STDOUT] (http-0.0.0.0-8080-3)         usuarionfe0_.DATA_MODIFICACAO as DATA3_19_0_,
2013-02-20 08:23:38,680 INFO  [STDOUT] (http-0.0.0.0-8080-3)         usuarionfe0_.LOGIN as LOGIN19_0_,
2013-02-20 08:23:38,680 INFO  [STDOUT] (http-0.0.0.0-8080-3)         usuarionfe0_.ID_PREFERENCIA as ID5_19_0_,
2013-02-20 08:23:38,680 INFO  [STDOUT] (http-0.0.0.0-8080-3)         usuarionfe1_.DATA_CRIACAO as DATA2_9_1_,
2013-02-20 08:23:38,680 INFO  [STDOUT] (http-0.0.0.0-8080-3)         usuarionfe1_.DATA_MODIFICACAO as DATA3_9_1_,
2013-02-20 08:23:38,680 INFO  [STDOUT] (http-0.0.0.0-8080-3)         colunapain3_.DATA_CRIACAO as DATA2_13_2_,
2013-02-20 08:23:38,680 INFO  [STDOUT] (http-0.0.0.0-8080-3)         colunapain3_.DATA_MODIFICACAO as DATA3_13_2_,
2013-02-20 08:23:38,680 INFO  [STDOUT] (http-0.0.0.0-8080-3)         colunapain3_.COLUNA as COLUNA13_2_,
2013-02-20 08:23:38,680 INFO  [STDOUT] (http-0.0.0.0-8080-3)         colunaspai2_.ID_PREFERENCIA as ID1_9_0__,
2013-02-20 08:23:38,680 INFO  [STDOUT] (http-0.0.0.0-8080-3)         colunaspai2_.ID_COLUNA_PAINEL_ENTRADA as ID2_0__ 
2013-02-20 08:23:38,680 INFO  [STDOUT] (http-0.0.0.0-8080-3)     from
2013-02-20 08:23:38,680 INFO  [STDOUT] (http-0.0.0.0-8080-3)         NFE_USUARIO usuarionfe0_ 
2013-02-20 08:23:38,681 INFO  [STDOUT] (http-0.0.0.0-8080-3)     left outer join
2013-02-20 08:23:38,681 INFO  [STDOUT] (http-0.0.0.0-8080-3)         NFE_USUARIO_NFE_PREFERENCIA usuarionfe1_ 
2013-02-20 08:23:38,681 INFO  [STDOUT] (http-0.0.0.0-8080-3)             on usuarionfe0_.ID_PREFERENCIA=usuarionfe1_.ID 
2013-02-20 08:23:38,681 INFO  [STDOUT] (http-0.0.0.0-8080-3)     left outer join
2013-02-20 08:23:38,681 INFO  [STDOUT] (http-0.0.0.0-8080-3)         NFE_PREFERENCIA_COLUNAS_PAINEL colunaspai2_ 
2013-02-20 08:23:38,681 INFO  [STDOUT] (http-0.0.0.0-8080-3)             on usuarionfe1_.ID=colunaspai2_.ID_PREFERENCIA 
2013-02-20 08:23:38,681 INFO  [STDOUT] (http-0.0.0.0-8080-3)     left outer join
2013-02-20 08:23:38,681 INFO  [STDOUT] (http-0.0.0.0-8080-3)         NFE_COLUNA_PAINEL_ENTRADA colunapain3_ 
2013-02-20 08:23:38,681 INFO  [STDOUT] (http-0.0.0.0-8080-3)             on colunaspai2_.ID_COLUNA_PAINEL_ENTRADA=colunapain3_.ID 
2013-02-20 08:23:38,681 INFO  [STDOUT] (http-0.0.0.0-8080-3)     where
2013-02-20 08:23:38,681 INFO  [STDOUT] (http-0.0.0.0-8080-3)         usuarionfe0_.LOGIN=?
2013-02-20 08:23:38,687 INFO  [br.com.pwc.nfe.entrada.core.parametrizacao.UsuarioBean] (http-0.0.0.0-8080-3) Busca Usuário NFe por Login : daniel.santos realizada com sucesso
2013-02-20 08:23:38,760 INFO  [br.com.pwc.nfe.entrada.core.negocio.NfeEntradaBean] (http-0.0.0.0-8080-3) Listando todos os dados da entidade NFe Entrada
2013-02-20 08:23:38,791 INFO  [STDOUT] (http-0.0.0.0-8080-3) Hibernate: 
2013-02-20 08:23:38,791 INFO  [STDOUT] (http-0.0.0.0-8080-3)     select
2013-02-20 08:23:38,791 INFO  [STDOUT] (http-0.0.0.0-8080-3)         nfeentrada0_.ID as ID14_0_,
2013-02-20 08:23:38,791 INFO  [STDOUT] (http-0.0.0.0-8080-3)         codigosefa1_.ID as ID16_1_,
2013-02-20 08:23:38,791 INFO  [STDOUT] (http-0.0.0.0-8080-3)         codigosefa2_.ID as ID16_2_,
2013-02-20 08:23:38,791 INFO  [STDOUT] (http-0.0.0.0-8080-3)         nfeentrada0_.DATA_CRIACAO as DATA2_14_0_,
2013-02-20 08:23:38,791 INFO  [STDOUT] (http-0.0.0.0-8080-3)         nfeentrada0_.DATA_MODIFICACAO as DATA3_14_0_,
2013-02-20 08:23:38,792 INFO  [STDOUT] (http-0.0.0.0-8080-3)         nfeentrada0_.CHAVE_ACESSO as CHAVE4_14_0_,
2013-02-20 08:23:38,792 INFO  [STDOUT] (http-0.0.0.0-8080-3)         nfeentrada0_.CNPJ_EMITENTE as CNPJ5_14_0_,
2013-02-20 08:23:38,792 INFO  [STDOUT] (http-0.0.0.0-8080-3)         nfeentrada0_.DATA_AUTORIZACAO_NF as DATA6_14_0_,
2013-02-20 08:23:38,792 INFO  [STDOUT] (http-0.0.0.0-8080-3)         nfeentrada0_.DATA_CANCELAMENTO_NF as DATA7_14_0_,
2013-02-20 08:23:38,792 INFO  [STDOUT] (http-0.0.0.0-8080-3)         nfeentrada0_.DATA_EMISSAO_NF as DATA8_14_0_,
2013-02-20 08:23:38,792 INFO  [STDOUT] (http-0.0.0.0-8080-3)         nfeentrada0_.EVENTO_CONCLUSIVO as EVENTO9_14_0_,
2013-02-20 08:23:38,792 INFO  [STDOUT] (http-0.0.0.0-8080-3)         nfeentrada0_.ID_PARAMETRO_EMPRESA as ID10_14_0_,
2013-02-20 08:23:38,792 INFO  [STDOUT] (http-0.0.0.0-8080-3)         nfeentrada0_.NUMERO_DOCUMENTO_FISCAL as NUMERO11_14_0_,
2013-02-20 08:23:38,792 INFO  [STDOUT] (http-0.0.0.0-8080-3)         nfeentrada0_.SERIE_NF as SERIE12_14_0_,
2013-02-20 08:23:38,792 INFO  [STDOUT] (http-0.0.0.0-8080-3)         nfeentrada0_.ID_STATUS_SEFAZ as ID17_14_0_,
2013-02-20 08:23:38,792 INFO  [STDOUT] (http-0.0.0.0-8080-3)         nfeentrada0_.ID_STATUS_XML as ID18_14_0_,
2013-02-20 08:23:38,792 INFO  [STDOUT] (http-0.0.0.0-8080-3)         nfeentrada0_.TIPO_FORMA_EMISSAO as TIPO13_14_0_,
2013-02-20 08:23:38,792 INFO  [STDOUT] (http-0.0.0.0-8080-3)         nfeentrada0_.TIPO_OPERACAO as TIPO14_14_0_,
2013-02-20 08:23:38,792 INFO  [STDOUT] (http-0.0.0.0-8080-3)         nfeentrada0_.UF_EMISSAO as UF15_14_0_,
2013-02-20 08:23:38,792 INFO  [STDOUT] (http-0.0.0.0-8080-3)         nfeentrada0_.VALOR_TOTAL as VALOR16_14_0_,
2013-02-20 08:23:38,792 INFO  [STDOUT] (http-0.0.0.0-8080-3)         codigosefa1_.DATA_CRIACAO as DATA2_16_1_,
2013-02-20 08:23:38,792 INFO  [STDOUT] (http-0.0.0.0-8080-3)         codigosefa1_.DATA_MODIFICACAO as DATA3_16_1_,
2013-02-20 08:23:38,792 INFO  [STDOUT] (http-0.0.0.0-8080-3)         codigosefa1_.CODIGO as CODIGO16_1_,
2013-02-20 08:23:38,792 INFO  [STDOUT] (http-0.0.0.0-8080-3)         codigosefa1_.DESCRICAO as DESCRICAO16_1_,
2013-02-20 08:23:38,793 INFO  [STDOUT] (http-0.0.0.0-8080-3)         codigosefa1_.NOME as NOME16_1_,
2013-02-20 08:23:38,793 INFO  [STDOUT] (http-0.0.0.0-8080-3)         codigosefa2_.DATA_CRIACAO as DATA2_16_2_,
2013-02-20 08:23:38,793 INFO  [STDOUT] (http-0.0.0.0-8080-3)         codigosefa2_.DATA_MODIFICACAO as DATA3_16_2_,
